months,avg_temp,max_temp,min_temp,rainfall,rainy_day,LPM,city,year
January,23.4,28.3,21,216.9,26,49,Bandung,2013
February,23.4,28.6,20.3,250,23,52,Bandung,2013
March,23.8,29.6,20.4,305,24,58,Bandung,2013
April,3.7,29.1,20.7,286,26,52,Bandung,2013
May,23.5,28.7,20.3,171,23,53,Bandung,2013
June,23.6,28.5,20.3,231.5,16,61,Bandung,2013
July,22.5,28,19,159,16,58,Bandung,2013
August,3.2,29.4,18.5,74,9,79,Bandung,2013
September,23.7,30.1,19.1,172,10,77,Bandung,2013
October,23.8,30,19.6,234,21,69,Bandung,2013
November,23.8,29.8,20,164,19,64,Bandung,2013
December,23.1,28.4,20.1,418,27,40,Bandung,2013
